Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=beat  position_beats=164.003  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=164.003  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=164.978  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=164.978  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=165.992  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=165.992  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=167.001  error_ms=23.000
[TIMING ] wwise_callback=grid  position_beats=167.001  error_ms=23.000
[TIMING ] wwise_callback=bar  position_beats=167.976  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=167.976  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=167.976  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=168.992  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=168.992  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=169.961  error_ms=2.000
